,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
0,0.0,57725.09,45317.66,30853.18,28239.57,54022.55,22258.21,32225.25,33335.15,50778.68,442.97,30136.67,31610.48,37547.35,75980.45,70320.13,52552.48,48319.75,47068.35,937.59,36736.14,32236.68,115682.34,105400.75,99683.27,108617.76,56974.27,113779.66,107713.69,109480.44,64559.75,27600.94,22409.2,70023.95,38664.92,93976.69,87680.84,79643.03,23945.47,30853.18,79954.09,31588.66,26831.71,35164.59,42467.16,25493.07,56789.27,64739.88,65267.97,81133.6,91988.93,24420.0,52728.12,66286.68,90234.17,64297.07,80498.73,59866.28,88900.56,105850.05,37167.86,28242.67,116328.65,114920.67,62108.19,31835.06,31269.24,67117.02,31512.85,42189.13,28208.95,65453.84,30930.82,26614.9,76144.01,64209.42,27559.24,31399.52,54860.08,29942.77,40548.2,55069.58,49618.65,74971.18,41081.04,35185.14,29793.88,1844.22,111715.95,49168.57,104711.38,41501.16,30984.96,60354.64,83529.67,66811.51,98234.02,30187.98,63275.27,30427.46,45870.3,53112.93,55563.15,72257.31,60888.08,32025.7,64993.22,19681.58,42400.97,75959.9,112018.38,61338.93,28798.41,40567.62,89863.7,38749.7,115924.65,58496.05,42892.14,37307.94,59228.43,116404.73,33504.66,111807.3,65076.46,28691.14,30630.01,35172.29,26110.12,41991.74,46155.16,117207.98,90077.23,48695.08,31342.77,39704.99,64993.22,64729.69,50474.57,42288.55,63737.89,88765.75,113638.12,65362.79,49556.41,27062.59,33962.29,45909.07,98210.23,69881.35,115956.63,31258.89,118487.55,37253.31,49014.0,49014.0,51346.09,58049.94,33399.59,68549.62,30991.41,30778.88,37159.96,30507.84,32486.37,32488.46,40302.85,30416.66,61915.38,28412.38,111807.3,25675.0,45738.65,61791.88,46443.52,43070.84
1,57725.09,0.0,20806.47,44476.95,61201.66,7455.13,56421.95,83119.76,44321.59,9853.28,57895.7,81031.17,42839.2,26438.39,65080.76,62563.08,15989.77,38582.12,34969.45,56839.19,59361.25,43432.02,103754.55,102602.71,88783.57,102435.09,7133.78,101658.48,97997.22,122771.69,86757.44,39016.35,62598.73,57994.81,58799.41,92269.93,57970.51,65188.2,34216.2,44476.95,30182.26,37107.71,77726.22,30402.42,68010.92,80755.48,7262.76,90929.72,74696.04,36493.21,81796.03,51631.4,69625.78,66378.24,79507.2,87530.28,35858.34,69294.35,56390.09,98559.26,26302.23,36802.53,104400.86,102992.88,63779.56,36395.42,24155.82,59359.97,30002.62,31154.03,47746.82,61897.79,53400.18,47883.63,29649.12,15120.25,37962.66,34663.82,74294.15,74134.59,67752.07,73932.27,19631.97,64071.48,61449.99,86079.64,73985.7,57902.39,99788.16,100063.08,93376.47,31448.07,41764.11,45899.81,98546.9,52356.67,61136.84,81082.49,84888.34,42208.55,77495.86,38204.65,89372.2,89053.47,50441.34,30294.93,91183.06,54564.57,30945.68,66784.84,101118.69,78388.28,38827.55,67771.49,103154.95,58575.37,103996.86,93478.04,42470.73,58921.0,50676.73,104476.95,36544.98,99512.13,80627.47,42831.56,44253.79,26495.62,45696.98,62554.59,67254.43,105280.2,57974.26,6706.52,48764.13,60047.1,91183.06,13721.93,10529.43,62630.67,80909.8,94384.58,110014.75,10456.73,63717.06,81227.88,84856.8,49190.85,87310.54,28162.0,104028.84,73881.13,135283.7,38501.93,99908.52,99908.52,97744.5,74846.09,47478.51,85366.74,49050.08,40599.02,38172.64,43713.27,30598.57,40160.44,63189.94,81311.17,79554.95,27014.64,99512.13,51000.27,92137.05,50892.18,44129.15,81712.68
2,45317.66,20806.47,0.0,28804.0,45528.7,13948.46,40749.0,68481.12,25176.88,10283.57,45488.26,66392.53,24324.34,8501.82,45015.86,42498.18,7146.51,18517.22,14904.55,44431.75,41464.61,25831.98,83689.66,74436.16,68718.67,77653.16,27393.54,81593.58,77932.32,97455.82,67573.15,37669.47,47960.09,37929.91,40970.46,63012.1,46811.49,45123.3,21808.76,28804.0,35527.37,20973.63,63087.58,12813.24,51561.82,66116.84,27522.53,71745.44,52913.38,36230.98,61731.14,35958.45,47843.12,46313.34,58168.32,68345.99,35596.11,47511.69,43997.94,74885.46,8668.09,20850.24,84335.96,82927.98,43714.66,20261.34,15100.08,39295.07,29044.92,11089.13,32073.87,41832.9,37727.22,32210.68,31241.38,23980.35,36567.85,18428.63,54612.7,67438.39,52079.11,54250.83,4716.03,44006.59,41768.54,71441.0,67289.5,45494.96,79723.26,85424.44,73311.57,11383.18,26091.16,25834.91,76764.24,32291.77,53331.4,66443.85,65704.05,26535.59,61822.9,18139.75,73699.24,67270.8,30376.45,15902.12,71998.77,39543.52,10880.78,46719.94,81053.8,58706.84,23103.29,52098.54,76925.13,40231.22,83931.96,77442.32,22405.83,40477.11,30611.84,84412.05,17400.27,79447.23,58844.8,27107.3,28580.84,32704.37,30024.03,43704.69,48214.63,85215.3,45174.6,16868.61,29619.42,41154.95,71998.77,24500.62,22072.04,43590.87,59127.14,74319.68,82673.53,28444.15,44035.61,66589.23,70218.16,27408.19,67245.64,24978.73,83963.94,69583.42,113501.05,19357.22,85269.88,85269.88,82071.55,53063.43,28333.8,65685.3,29905.37,24874.76,19027.93,28040.32,15116.41,24436.18,45524.97,66672.53,59873.5,17958.9,79447.23,35327.32,76464.1,30827.29,24064.26,80566.45
3,30853.18,44476.95,28804.0,0.0,17843.44,40774.41,13125.97,44009.13,4745.54,37530.54,30799.7,41920.55,3020.87,20306.22,47390.84,41730.52,33611.23,19730.14,24193.64,31693.75,16003.04,3647.06,92362.37,76811.13,71093.66,80028.14,51064.03,90459.68,80399.45,86160.46,43399.22,36421.73,21992.47,41434.34,15441.19,65387.08,63048.71,51053.42,19700.97,0.0,60527.95,7392.5,38615.6,15761.1,24652.71,41644.86,51193.02,47571.51,41947.99,63869.71,64674.69,8273.19,29408.14,42966.7,61644.56,44172.07,60596.68,36546.3,67731.83,77260.44,20589.42,8031.38,93008.66,91600.69,38788.21,8650.08,24271.93,38527.41,31918.55,19521.5,4388.61,40685.88,10041.96,4543.0,56241.96,50961.28,35851.76,10630.25,33114.92,56244.02,24393.85,33324.42,31180.75,46381.57,18353.22,44766.32,56095.13,32741.63,88395.97,58126.2,77397.15,19590.35,3159.81,31765.03,60209.7,38221.89,77065.29,41971.86,41530.12,2602.31,34137.64,27733.81,46013.98,48937.33,32298.47,15515.11,47824.84,12628.3,19844.08,47370.29,83428.77,38767.64,5636.38,24413.28,66543.72,15217.15,92604.67,50119.83,14302.53,15562.78,30638.81,93084.76,9593.74,88487.32,41756.48,3754.05,669.15,35577.99,3108.81,19196.38,23896.21,93888.0,68908.49,36400.54,6256.59,16688.89,47824.84,51481.55,41016.81,19272.45,40651.46,65445.77,85048.51,52114.64,26236.43,42117.25,44200.73,17319.45,69620.62,49979.3,92636.65,59259.43,95167.57,8938.23,58146.12,58146.12,54386.28,34729.96,7494.67,45978.33,6199.42,4449.47,8844.88,1651.31,14978.43,4663.31,19831.72,42200.54,40023.45,24167.88,88487.32,7642.06,48778.84,33202.26,17853.91,69372.09
4,28239.57,61201.66,45528.7,17843.44,0.0,57499.12,6204.11,27247.81,21089.69,54255.24,28186.09,25620.59,19365.02,37030.93,60003.81,54317.75,49973.31,32844.13,40537.79,29080.15,13121.09,19991.21,99434.46,95996.59,83706.63,92641.12,67788.73,97531.78,91465.8,89954.69,37931.3,48903.76,11387.29,54047.31,17996.05,78000.05,75661.68,63666.39,32183.0,17843.44,76890.02,24117.21,22624.76,32485.8,17290.54,28641.44,67917.72,36107.84,48444.14,80231.79,75741.05,9293.8,33202.37,49462.85,74257.54,37668.61,76958.77,43042.46,84093.91,89873.41,37314.12,24756.08,100080.77,98672.78,45284.37,25374.78,38364.93,51114.64,44400.59,35865.65,13481.44,48630.01,10093.11,14389.46,72604.04,67685.98,48333.79,27354.95,33674.87,58085.32,13107.19,33884.37,47542.83,58994.54,20885.79,26774.58,57936.43,30128.03,95468.06,39318.85,88463.5,35952.43,19631.08,44378.01,64045.31,50834.87,93427.37,25715.66,37984.42,19107.83,18429.3,38614.54,30305.64,51360.3,44911.45,32239.81,35802.56,10063.19,36188.23,59983.26,99044.29,40153.72,22361.08,13126.62,70337.95,18305.96,99676.77,33649.14,27003.53,16647.6,43251.79,100156.85,26318.45,95559.41,45550.71,19073.54,17367.7,48060.03,16042.85,20448.94,24969.96,100960.1,85270.57,53125.24,16079.98,19261.24,35802.56,68206.25,57741.52,21844.8,42552.68,69239.99,100376.04,68839.34,30030.66,26418.34,26208.98,27581.26,83702.95,66341.38,99708.74,59275.61,99003.19,25282.38,39259.08,39259.08,37274.48,38524.19,18136.81,47364.41,15728.62,20954.99,25189.03,17963.92,31703.14,21134.58,17126.39,25944.34,40730.18,36649.91,95559.41,12222.84,31667.03,45815.24,30554.91,71213.39
5,54022.55,7455.13,13948.46,40774.41,57499.12,0.0,52719.41,79417.22,40619.04,3642.48,54193.16,77328.63,39136.65,22735.85,61481.08,56720.6,8823.25,32739.64,29126.97,53136.65,55658.71,39729.48,100151.94,95359.99,90222.82,95192.38,14585.32,98055.85,94394.59,111678.24,83054.9,43658.24,58896.18,54319.32,55096.86,85027.21,50727.79,61512.71,30513.66,40774.41,27790.0,33405.16,74023.68,26699.88,64308.38,77052.95,14714.3,87227.18,67135.8,32733.13,78193.41,47928.86,62065.54,60535.77,72264.48,83827.74,32098.26,61734.11,47040.49,91316.54,22599.69,33099.99,100798.23,99390.26,57937.08,32692.88,23115.45,53517.5,34644.52,25311.56,44044.29,56055.32,49697.63,44181.09,25350.02,12045.34,42604.55,30961.28,68835.13,75453.76,64049.53,68473.25,11087.88,60471.81,55990.96,82377.1,75304.86,54199.85,96185.54,96360.54,89776.8,25605.6,38061.57,42224.32,90986.66,48681.18,56837.75,77379.95,81185.8,38506.0,73793.31,32362.17,85669.66,81493.23,40524.42,26592.39,87480.52,50862.02,25103.2,63109.35,102334.21,72929.26,35125.02,64068.95,91147.55,54453.64,100394.23,89775.5,36628.25,55218.46,40759.81,100874.32,32842.44,95909.5,73067.23,39129.02,40551.25,31137.51,41994.44,57927.11,62437.05,101677.57,48217.16,7584.4,45061.59,55377.36,87480.52,12565.61,15171.32,57813.29,73349.55,88542.1,102772.04,13562.63,58258.04,77525.34,81154.26,41630.61,83710.86,17105.22,100426.21,78523.02,127723.47,34799.39,96205.97,96205.97,94041.95,67285.86,43775.97,79907.72,45347.54,36896.48,34470.1,40010.73,26896.03,36457.9,59487.39,77608.63,74095.91,25974.26,95909.5,47297.73,88434.52,45049.71,38286.68,86354.57
6,22258.21,56421.95,40749.0,13125.97,6204.11,52719.41,0.0,31458.39,17925.08,49475.54,22204.73,29831.17,16200.42,32251.22,57374.49,51420.89,46808.7,30214.8,37373.18,23098.78,14477.93,16826.61,95961.66,92523.8,81077.3,90011.79,59437.55,94058.98,87993.01,89759.76,42524.29,42922.39,10498.83,51417.98,18506.46,75370.73,73032.36,61037.07,26201.63,13125.97,73725.42,19337.5,26835.34,27706.09,20431.7,30344.71,59566.54,42704.41,45547.29,77067.19,72268.25,6878.1,33007.44,46566.0,71628.21,42261.61,73794.16,40145.6,80929.3,87244.09,32534.42,19976.38,96607.97,95199.99,42387.51,20595.07,32383.56,48217.79,38419.21,32701.04,10316.83,45733.16,10007.31,9073.0,69439.44,62906.27,42352.43,22575.25,34701.62,52103.96,18512.73,34911.12,44378.22,56365.21,20922.59,30985.16,51955.07,24146.67,91995.27,43529.43,84990.7,32787.82,15104.81,41748.68,63809.0,48205.54,90262.77,29926.23,41903.6,14547.3,23834.84,35985.21,35711.18,52536.63,42282.12,27802.98,42957.75,4081.82,33023.63,57353.94,95571.49,41180.47,17581.37,18532.15,70143.02,18591.24,96203.97,39054.67,24374.2,17149.48,40622.46,96684.05,21538.74,92086.63,45355.78,13757.09,13279.01,42078.66,10726.39,21833.28,25996.71,97487.3,82105.97,48111.18,13450.65,19546.53,42957.75,63426.55,57380.94,22130.1,43579.43,69045.07,96903.24,64059.64,29835.73,30628.92,30419.56,24684.41,80230.15,63176.78,96235.95,53294.25,98766.88,22117.77,43469.66,43469.66,43160.7,38329.26,15507.48,48391.16,13099.3,16373.55,22024.43,14799.31,26923.43,16608.3,18044.64,30154.92,41756.93,30668.54,92086.63,8133.1,37553.26,43185.91,27925.58,65232.02
7,32225.25,83119.76,68481.12,44009.13,27247.81,79417.22,31458.39,0.0,46295.15,76173.34,32171.77,2704.99,44570.48,59983.34,87399.93,79741.98,74980.65,60240.24,66608.6,33065.82,38236.49,45196.68,119724.79,119784.2,115772.11,123911.24,85416.12,120923.98,115253.41,111501.02,41344.24,59291.88,24884.4,81443.43,43111.45,105396.16,103057.8,91062.51,52180.2,44009.13,101897.37,49512.85,6049.98,55438.21,34148.98,5913.41,85545.1,32761.8,70669.52,105239.13,99528.66,35823.86,56989.98,71657.87,101653.66,41081.55,101966.1,68466.7,109101.25,117269.52,60266.54,47782.92,121483.05,120398.46,70708.61,50779.79,58362.13,76538.88,64397.78,61729.38,40877.55,74054.25,37958.44,39643.74,97611.38,89604.08,59250.17,50939.77,55501.79,55943.65,29965.63,55711.29,72550.16,86390.66,46001.19,4236.31,54914.4,34113.71,119255.68,18365.34,112251.11,61041.41,45280.16,71774.13,85872.23,78230.98,118434.71,2642.52,46780.74,44722.66,23661.81,69283.42,24614.32,73187.22,72307.56,53637.92,33529.35,31332.6,61941.22,87379.38,122831.9,61980.64,47655.2,29985.05,91884.27,43421.35,118818.51,27547.23,54399.64,41763.0,70647.91,122267.34,53044.91,119347.03,69338.32,45514.75,44763.81,68057.23,40901.74,45476.41,47177.38,122164.69,110277.91,74089.74,43476.09,44376.64,33529.35,90124.35,83359.5,45891.6,64379.6,90628.02,124163.66,90757.45,53818.27,3537.33,3013.47,53988.59,107490.56,91348.73,118932.55,58363.37,116268.53,51326.05,18210.77,18210.77,20397.26,62311.8,45532.92,69191.33,43124.74,47602.49,51232.7,43467.84,54105.29,46783.66,40302.38,3025.33,62557.09,56647.11,119347.03,37201.1,14789.82,73211.35,57951.02,65493.46
8,33335.15,44321.59,25176.88,4745.54,21089.69,40619.04,17925.08,46295.15,0.0,37375.17,33281.67,44206.57,3277.7,17807.46,42690.39,37030.07,30473.85,15327.61,19791.11,34175.73,16287.84,1782.67,81377.05,72110.69,66393.2,75327.7,50908.66,79280.96,75699.0,85898.02,43136.79,39075.88,24278.49,36733.89,15178.75,60686.63,58348.26,46352.97,20514.55,4745.54,57390.57,6428.85,40901.62,14017.05,26385.05,43930.88,51037.64,47309.07,38124.19,59069.48,59974.25,11519.43,29145.7,39142.9,56944.11,43909.63,57459.31,32722.51,62931.6,72559.98,18090.66,8587.21,82023.34,80615.37,35121.22,6906.03,22989.0,33826.96,34572.71,15118.97,7634.86,35985.43,11900.45,7771.67,53104.58,50805.91,38505.91,8886.2,32852.48,58498.22,25633.78,33061.98,28043.37,41681.12,18090.78,48012.57,58349.32,35223.61,77410.65,57541.54,72696.7,15863.36,4354.19,27064.58,59947.25,33521.44,72265.06,44257.88,41267.68,4509.12,34786.49,23331.28,49981.32,48674.89,27598.02,15882.83,47562.41,14914.32,15441.55,42669.84,78728.32,38505.2,6192.2,25653.21,66281.27,14954.71,81619.34,51852.17,9602.08,15300.34,25938.37,82099.43,8008.15,77134.61,41494.04,6050.34,4522.38,38232.15,5394.83,18933.94,23633.77,82902.68,64108.27,37197.47,4442.65,16426.45,47562.41,51326.18,41813.75,19010.01,40389.02,65183.32,80348.05,51959.27,25973.99,44403.27,47446.98,12619.0,64920.17,46841.93,81651.32,61513.62,94905.13,5591.74,57561.46,57561.46,53801.62,34467.52,3799.34,45715.89,4728.6,5749.97,5498.4,3454.27,14195.48,5439.05,19569.28,44486.56,39761.01,25514.67,77134.61,10888.31,48194.18,28501.81,13153.46,71626.28
9,50778.68,9853.28,10283.57,37530.54,54255.24,3642.48,49475.54,76173.34,37375.17,0.0,50949.28,74084.76,35892.78,19491.97,59422.54,52040.18,6754.18,28059.21,24446.54,49892.77,52414.84,36485.61,93231.66,88842.84,83125.35,94927.56,16983.46,91135.58,87474.32,106997.81,77115.15,42440.96,55652.31,52260.78,51852.99,77418.77,50462.98,59454.16,27269.78,37530.54,29463.07,30161.29,70779.8,23456.0,61064.51,73809.07,17112.45,81287.43,62455.37,32468.31,71273.13,44684.98,57385.11,55855.34,71999.66,77887.99,31833.44,57053.69,46775.68,91051.72,19355.81,29856.12,93877.95,92469.98,53256.66,29449.0,19871.57,48837.07,33816.41,20631.13,40800.41,51374.89,46453.76,40937.22,27023.09,13718.4,41339.34,27717.4,64154.7,72209.88,60805.65,63792.82,8087.63,58413.27,51310.54,79133.23,72060.98,50955.98,89265.26,93116.66,87718.25,20925.17,34817.7,40165.78,86306.23,46622.64,56109.14,74136.07,75246.05,35262.13,70549.44,27681.75,82425.78,76812.8,38465.88,23348.51,81540.77,47618.15,20422.78,61050.8,95460.47,68248.84,31881.14,60825.07,86467.13,49773.22,93473.96,86531.63,31947.83,51974.58,38701.27,93954.05,29598.56,88989.23,68386.8,35885.14,37307.38,33977.92,38750.56,53246.68,57756.63,94757.29,47952.34,9408.25,41817.71,50696.94,81540.77,14238.68,14611.69,53132.87,68669.13,83861.68,97080.2,16874.22,53577.61,74281.46,77910.38,36950.18,81652.31,21216.06,93505.94,74354.91,123043.05,31555.52,92962.09,92962.09,90798.08,62605.43,40532.09,75227.3,42103.66,33652.6,31226.23,36766.86,23652.15,33214.02,56243.52,74364.75,69415.49,22730.38,88989.23,44053.86,85190.64,40369.28,33606.25,89194.98
