,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
0,0.0,41561.95,32628.62,22214.2,20332.44,38896.13,16025.87,23202.13,24001.19,36560.55,318.93,21698.36,22759.45,27034.02,54705.65,50630.29,37837.68,34790.07,33889.09,675.06,26449.93,23210.29,83291.06,75888.22,71771.64,78204.45,41021.34,81921.14,77553.62,78825.63,46482.91,19872.62,16134.57,50417.02,27838.65,67662.92,63130.02,57342.76,17240.7,22214.2,57566.79,22743.75,19318.8,25318.41,30576.27,18354.96,40888.14,46612.61,46992.8,58416.03,66231.84,17582.35,37964.11,47726.27,64968.32,46293.78,57958.93,43103.59,64008.27,76211.7,26760.78,20334.67,83756.38,82742.66,44717.75,22921.17,22513.79,48324.06,22689.16,30376.06,20310.37,47126.62,22270.12,19162.67,54823.53,46230.66,19842.6,22607.57,39499.11,21558.66,29194.62,39649.95,35725.32,53978.99,29578.23,25333.23,21451.46,1327.82,80435.28,35401.27,75391.96,29880.72,22309.08,43455.16,60141.17,48104.1,70728.31,21735.3,45558.04,21907.69,33026.53,38241.18,40005.33,52025.09,43839.23,23058.43,46795.01,14170.69,30528.59,54690.86,80652.91,44163.85,20734.79,29208.6,64701.59,27899.69,83465.53,42117.0,30882.2,26861.63,42644.29,83811.18,24123.26,80501.05,46854.88,20657.55,22053.52,25323.96,18799.24,30233.92,33231.6,84389.49,64855.46,35060.35,22566.7,28587.48,46795.01,46605.25,36341.54,30447.63,45891.08,63911.09,81819.12,47061.08,35680.49,19484.99,24452.79,33054.38,70711.06,50314.43,83488.55,22506.3,85310.77,26822.23,35289.99,35289.99,36969.07,41795.8,24047.61,49355.52,22313.73,22160.71,26755.03,21965.56,23390.11,23391.59,29017.95,21899.94,44578.91,20456.86,80501.05,18485.95,32931.71,44489.95,33439.18,31010.8
1,41561.95,0.0,14980.61,32023.26,44064.96,5367.68,40623.61,59846.05,31911.45,7094.34,41684.78,58342.28,30844.09,19035.59,46857.97,45045.29,11512.6,27779.04,25177.93,40924.11,42739.88,31270.92,74703.02,73873.82,63923.96,73753.1,5136.3,73193.84,70557.77,88395.35,62465.08,28091.67,45070.95,41756.13,42335.36,66434.24,41738.71,46935.36,24635.59,32023.26,21731.18,26717.46,55962.73,21889.69,48967.63,58143.78,5229.16,65469.13,53780.99,26275.05,58892.97,37174.41,50130.41,47792.21,57245.09,63021.52,25817.95,49891.78,40600.78,70962.52,18937.55,26497.74,75168.34,74154.62,45921.16,26204.62,17392.14,42739.07,21601.81,22430.83,34377.54,44566.3,38447.92,34476.04,21347.32,10886.56,27333.03,24957.88,53491.62,53376.69,48781.25,53231.06,14134.97,46131.31,44243.84,61977.16,53269.49,41689.61,71847.23,72045.2,67230.84,22642.54,30070.05,33047.77,70953.57,37696.7,44018.43,58379.22,61119.32,30390.04,55796.77,27507.28,64347.71,64118.3,36317.68,21812.3,65651.53,39286.36,22280.81,48084.94,72805.23,56439.36,27955.74,48795.24,74271.3,42174.05,74877.48,67303.9,30578.83,42422.91,36487.16,75223.13,26312.3,71648.48,58051.61,30838.59,31862.59,19076.79,32901.68,45039.05,48422.92,75801.45,41741.36,4828.68,35110.05,43233.69,65651.53,9879.76,7581.17,45093.84,58254.86,67956.72,79210.48,7528.83,45876.13,58483.9,61096.71,35417.29,62863.39,20276.61,74900.51,53194.29,97403.98,27721.3,71933.91,71933.91,70375.78,53889.02,34184.42,61463.83,35315.93,29231.17,27484.22,31473.4,22030.91,28915.39,45496.52,58543.86,57279.36,19450.47,71648.48,36720.0,66338.43,36642.27,31772.89,58832.95
2,32628.62,14980.61,0.0,20738.75,32780.46,10042.85,29339.11,49306.24,18127.29,7404.14,32751.46,47802.47,17513.41,6121.29,32411.28,30598.61,5145.46,13332.35,10731.24,31990.79,29854.38,18598.96,60256.33,53593.85,49477.27,55910.09,19723.3,58747.15,56111.08,70168.02,48652.48,27121.92,34531.13,27309.45,29498.62,45368.55,33704.21,32488.68,15702.26,20738.75,25579.63,15100.94,45422.91,9225.5,37124.36,47603.97,19816.16,51656.53,38097.51,26086.23,44446.28,25889.9,34446.93,33345.53,41881.06,49208.93,25629.13,34208.3,31678.47,53917.33,6241.0,15012.1,60721.65,59707.93,31474.47,14588.1,10872.03,28292.38,20912.27,7984.14,23093.03,30119.61,27163.41,23191.54,22493.73,17265.8,26328.77,13268.56,39321.01,48555.46,37496.75,39060.45,3395.52,31684.62,30073.23,51437.34,48448.27,32756.29,57400.55,61505.39,52784.15,8195.85,18785.54,18601.08,55270.09,23250.01,38398.51,47839.41,47306.72,19105.53,44512.26,13060.59,53063.21,48434.82,21870.99,11449.5,51838.93,28471.18,7834.13,33638.25,58358.55,42268.76,16634.29,37510.73,55385.93,28966.38,60430.8,55758.27,16132.14,29143.39,22040.47,60776.44,12528.15,57201.8,42368.12,19517.13,20578.08,23547.06,21617.18,31467.25,34714.39,61354.76,32525.66,12145.37,21325.89,29631.45,51838.93,17640.39,15891.82,31385.3,42571.38,53510.03,59524.75,20479.74,31705.53,47944.09,50556.9,19733.81,48416.7,17984.63,60453.82,50099.92,81720.49,13937.14,61394.1,61394.1,59091.27,38205.54,20400.26,47293.22,21531.77,17909.72,13700.06,20188.89,10883.79,17593.94,32777.85,48004.05,43108.75,12930.36,57201.8,25435.49,55053.92,22195.59,17326.2,58007.61
3,22214.2,32023.26,20738.75,0.0,12847.2,29357.44,9450.64,31686.47,3416.73,27021.86,22175.69,30182.69,2174.98,14620.37,34121.19,30045.82,24199.9,14205.61,17419.32,22819.4,11522.12,2625.83,66500.73,55303.76,51187.18,57619.99,36765.95,65130.8,57887.37,62035.29,31247.32,26223.5,15834.51,29832.56,11117.6,47078.46,45394.92,36758.3,14184.59,0.0,43579.88,5322.53,27803.14,11347.88,17749.87,29984.2,36858.81,34251.37,30202.46,45986.0,46565.58,5956.65,21173.77,30935.93,44383.86,31803.76,43629.39,26313.25,48766.72,55627.23,14824.27,5782.52,66966.04,65952.32,27927.41,6227.99,17475.68,27739.6,22981.2,14055.39,3159.78,29293.7,7230.16,3270.95,40493.98,36691.97,25813.13,7653.7,23842.63,40495.52,17563.49,23993.46,22449.96,33394.53,13214.24,32231.65,40388.31,23573.87,63644.94,41850.75,55725.71,14104.93,2275.02,22870.7,43350.83,27519.64,55486.76,30219.64,29901.56,1873.63,24579.01,19968.24,33129.95,35234.74,23254.77,11170.76,34433.77,9092.34,14287.64,34106.4,60068.45,27912.58,4058.13,17577.48,47911.25,10956.29,66675.2,36086.14,10297.73,11205.15,22059.83,67020.84,6907.41,63710.71,30064.54,2702.88,481.79,25615.99,2238.33,13821.29,17205.16,67599.16,49613.91,26208.25,4504.71,12015.93,34433.77,37066.56,29531.95,13876.07,29268.93,47120.75,61234.66,37522.39,18890.15,30324.32,31824.42,12469.91,50126.6,35984.89,66698.21,42666.63,68520.42,6435.43,41865.09,41865.09,39158.02,25005.46,5396.1,33104.25,4463.55,3203.58,6368.22,1188.92,10784.36,3357.53,14278.76,30384.28,28816.76,17400.75,63710.71,5502.24,35120.67,23905.49,12854.72,49947.65
4,20332.44,44064.96,32780.46,12847.2,0.0,41399.14,4466.94,19618.38,15184.46,39063.56,20293.93,18446.77,13942.71,26662.07,43202.52,39108.65,35980.54,23647.66,29187.05,20937.64,9447.16,14393.56,71592.6,69117.33,60268.51,66701.32,48807.65,70222.67,65855.15,64767.13,27310.48,35210.59,8198.82,38913.89,12957.11,56159.79,54476.25,45839.63,23171.67,12847.2,55360.52,17364.24,16289.79,23389.58,12449.16,20621.77,48900.52,25997.58,34879.67,57766.64,54533.37,6691.5,23905.61,35613.14,53465.19,27121.36,55410.03,30990.46,60547.36,64708.57,26865.97,17824.22,72057.91,71044.2,32604.62,18269.7,27622.65,36802.43,31968.28,25823.12,9706.58,35013.49,7267.0,10360.36,52274.62,48733.67,34800.21,19695.41,24245.81,41821.25,9437.16,24396.65,34230.6,42475.86,15037.7,19277.66,41714.05,21692.11,68736.81,28309.51,63693.5,25885.57,14134.27,31952.03,46112.43,36600.97,67267.4,18515.22,27348.72,13757.53,13269.07,27802.35,21820.02,36979.25,32336.1,23212.46,25777.78,7245.47,26055.37,43187.73,71311.64,28910.56,16099.83,9451.14,50643.09,13180.24,71767.06,24227.3,19442.44,11986.23,31141.16,72112.71,18949.11,68802.59,32796.38,13732.88,12504.67,34603.07,11550.79,14723.18,17978.3,72691.02,61394.55,38249.96,11577.52,13868.03,25777.78,49108.27,41573.65,15728.18,30637.79,49852.59,72270.49,49564.09,21621.99,19021.15,18870.43,19858.42,60265.91,47765.53,71790.09,42678.29,71282.03,18203.16,28266.48,28266.48,26837.59,27737.3,13058.43,34102.23,11324.54,15087.48,18135.95,12933.94,22826.06,15216.78,12330.95,18679.87,29325.62,26387.83,68802.59,8800.41,22800.24,32986.82,21999.42,51273.39
5,38896.13,5367.68,10042.85,29357.44,41399.14,0.0,37957.79,57180.23,29245.62,2622.57,39018.96,55676.45,28178.27,16369.77,44266.2,40838.72,6352.72,23572.47,20971.36,38258.29,40074.06,28605.1,72109.13,68659.08,64960.32,68538.36,10501.39,70599.95,67963.88,80408.14,59799.25,31433.83,42405.12,39109.81,39669.54,61219.5,36523.97,44289.04,21969.76,29357.44,20008.75,24051.64,53296.9,19223.86,46301.8,55477.96,10594.25,62803.3,48337.62,23567.79,56299.08,34508.59,44687.05,43585.64,52030.35,60355.7,23110.69,44448.42,33869.08,65747.79,16271.73,23831.92,72574.45,71560.73,41714.59,23538.8,16643.07,38532.5,24943.97,18224.26,31711.71,40359.73,35782.09,31810.22,18251.97,8672.62,30675.18,22292.05,49561.13,54326.5,46115.43,49300.57,7983.24,43539.54,40313.35,59311.33,54219.3,39023.79,69253.34,69379.38,64639.07,18435.97,27404.22,30401.44,65510.2,35050.38,40923.07,55713.39,58453.5,27724.21,53130.95,23300.7,61681.89,58674.93,29177.53,19146.47,62985.71,36620.53,18074.24,45438.62,73680.51,52508.88,25289.92,46129.41,65626.05,39206.5,72283.59,64638.07,26372.26,39757.09,29347.01,72629.24,23646.48,69054.59,52608.24,28172.76,29196.76,22418.94,30235.86,41707.37,44954.5,73207.55,34716.27,5460.75,32444.23,39871.57,62985.71,9047.21,10923.32,41625.42,52811.5,63750.15,73995.73,9765.06,41945.64,55818.07,58430.89,29973.93,60271.62,12315.73,72306.62,56536.44,91960.61,25055.48,69268.09,69268.09,67709.95,48445.65,31518.6,57533.34,32650.11,26565.35,24818.39,28807.57,19365.09,26249.57,42830.7,55878.04,53348.87,18701.4,69054.59,34054.18,63672.61,32435.7,27566.32,62175.11
6,16025.87,40623.61,29339.11,9450.64,4466.94,37957.79,0.0,22649.98,12905.96,35622.21,15987.36,21478.38,11664.21,23220.72,41309.41,37022.93,33702.03,21754.55,26908.55,16631.07,10424.06,12115.06,69092.21,66616.94,58375.4,64808.21,42794.89,67722.28,63354.76,64626.77,30617.41,30904.01,7559.13,37020.79,13324.59,54266.68,52583.14,43946.52,18865.1,9450.64,53082.02,13922.89,19321.4,19948.23,14710.77,21848.13,42887.76,30747.11,32793.94,55488.13,52032.98,4952.2,23765.25,33527.41,51572.08,30428.28,53131.52,28904.73,58268.86,62815.46,23424.62,14382.87,69557.52,68543.8,30518.89,14828.34,23316.08,34716.7,27661.71,23544.61,7428.07,32927.77,7205.23,6532.52,49996.11,45292.32,30493.64,16254.06,24985.05,37514.68,13329.12,25135.89,31952.1,40582.75,15064.18,22309.26,37407.48,17385.54,66236.42,31341.12,61193.11,23607.06,10875.38,30058.93,45942.31,34707.86,64988.89,21546.83,30170.47,10473.98,17161.03,25909.24,25711.98,37826.23,30442.99,20018.09,30929.51,2938.9,23776.87,41294.62,68811.25,29649.8,12658.48,13343.11,50502.73,13385.63,69266.67,28119.27,17549.33,12347.57,29248.05,69612.32,15507.76,66302.2,32656.02,9905.04,9560.83,30296.5,7722.95,15719.86,18717.54,70190.64,59116.05,34639.93,9684.41,14073.43,30929.51,45666.91,41314.08,15933.58,31377.03,49712.23,69770.1,46122.74,21481.63,22052.76,21902.03,17772.69,57765.52,45487.02,69289.7,38371.72,71111.91,15924.65,31298.08,31298.08,31075.66,27596.95,11165.32,34841.46,9431.43,11788.88,15857.44,10655.43,19384.71,11957.88,12992.08,21711.47,30064.86,22081.26,66302.2,5855.79,27038.31,31093.71,20106.31,46966.82
7,23202.13,59846.05,49306.24,31686.47,19618.38,57180.23,22649.98,0.0,33332.36,54844.64,23163.62,1947.58,32090.61,43187.86,62927.68,57414.09,53985.86,43372.82,47958.04,23807.33,27530.21,32541.46,86201.55,86244.37,83355.66,89215.82,61499.41,87064.97,82982.2,80280.45,29767.72,42690.05,17916.73,58639.06,31040.16,75884.95,74201.41,65564.8,37569.62,31686.47,73365.84,35649.09,4355.97,39915.36,24587.21,4257.62,61592.28,23588.39,50881.9,75771.96,71660.41,25793.11,41032.65,51593.5,73190.35,29578.59,73415.34,49295.89,78552.69,84433.73,43391.75,34403.62,87467.48,86686.59,50910.06,36561.31,42020.6,55107.86,46366.23,44445.01,29431.74,53318.93,27330.02,28543.4,70279.95,64514.76,42660.03,36676.52,39961.15,40279.25,21575.2,40111.99,52235.93,62201.02,33120.75,3050.13,39538.2,24561.8,85863.86,13223.0,80820.54,43949.67,32601.58,51677.2,61827.77,56326.13,85272.72,1902.61,33682.0,32200.18,17036.44,49883.87,17722.23,52694.59,52061.27,38619.19,24141.03,22559.4,44597.54,62912.89,88438.68,44625.9,34311.63,21589.19,66156.41,31263.29,85549.04,19833.9,39167.6,30069.29,50866.32,88032.16,38192.21,85929.63,49923.42,32770.52,32229.83,49001.02,29449.15,32742.93,33967.61,87958.26,79399.88,53344.45,31302.68,31951.09,24141.03,64889.35,60018.6,33041.86,46353.13,65251.93,89397.53,65345.18,38749.03,2546.85,2169.69,38871.68,77392.95,65770.85,85631.16,42021.44,83713.12,36954.56,13111.71,13111.71,14685.96,44864.35,32783.59,49817.57,31049.71,34273.67,36887.35,31296.73,38955.69,33684.08,29017.64,2178.22,45040.96,40785.78,85929.63,26784.71,10648.61,52711.99,41724.59,47155.07
8,24001.19,31911.45,18127.29,3416.73,15184.46,29245.62,12905.96,33332.36,0.0,26910.04,23962.69,31828.59,2359.93,12821.33,30736.92,26661.56,21941.08,11035.84,14249.55,24606.4,11727.17,1283.52,58591.26,51919.49,47802.91,54235.72,36654.13,57082.08,54503.1,61846.32,31058.35,28134.48,17480.4,26448.29,10928.63,43694.19,42010.65,33374.03,14770.37,3416.73,41321.06,4628.73,29449.04,10092.17,18997.15,31630.09,36747.0,34062.4,27449.34,42529.95,43181.31,8293.91,20984.8,28182.81,40999.59,31614.79,41370.57,23560.13,45310.67,52242.96,13025.23,6182.71,59056.57,58042.86,25287.21,4972.29,16551.98,24355.33,24892.18,10885.62,5497.04,25909.43,8568.27,5595.54,38235.16,36580.15,27724.11,6398.0,23653.66,42118.5,18456.24,23804.49,20191.14,30010.26,13025.27,34568.91,42011.3,25360.87,55735.47,41429.77,52341.45,11421.58,3134.97,19486.43,43161.86,24135.37,52030.7,31865.53,29712.59,3246.51,25046.18,16798.47,35986.41,35045.77,19870.5,11435.55,34244.8,10738.23,11117.87,30722.13,56684.19,27723.61,4458.32,18470.22,47722.27,10767.33,58765.72,37333.42,6913.46,11016.18,18675.56,59111.37,5765.81,55536.72,29875.56,4356.17,3256.06,27526.97,3884.23,13632.32,17016.19,59689.68,46157.86,26782.09,3198.68,11826.96,34244.8,36954.75,30105.79,13687.1,29079.96,46931.78,57850.39,37410.57,18701.18,31970.21,34161.68,9085.64,46742.34,33726.07,58788.75,44289.61,68331.45,4026.02,41444.11,41444.11,38737.04,24816.49,2735.5,32915.27,3404.56,4139.92,3958.81,2487.04,10220.66,3916.06,14089.79,32030.17,28627.79,18370.45,55536.72,7839.5,34699.69,20521.22,9470.45,51570.64
9,36560.55,7094.34,7404.14,27021.86,39063.56,2622.57,35622.21,54844.64,26910.04,0.0,36683.38,53340.87,25842.68,14034.18,42784.04,37468.82,4863.0,20202.56,17601.46,35922.71,37738.48,26269.51,67126.55,63966.61,59850.04,68347.7,12228.05,65617.37,62981.29,77038.23,55522.69,30557.38,40069.54,37627.65,37333.96,55741.31,36333.3,42806.88,19634.18,27021.86,21213.36,21716.06,50961.32,16888.28,43966.22,53142.38,12320.92,58526.74,44967.72,23377.12,51316.5,32173.01,41317.14,40215.74,51839.68,56079.14,22920.02,41078.51,33678.41,65557.12,13936.15,21496.34,67591.86,66578.14,38344.69,21203.22,14307.49,35162.59,24347.72,14854.35,29376.13,36989.82,33446.52,29474.64,19456.58,9877.23,29764.22,19956.47,46191.23,51990.92,43779.85,45930.67,5823.06,42057.38,36943.45,56975.75,51883.72,36688.21,64270.76,67043.79,63156.91,15066.06,25068.64,28919.28,62140.3,33568.21,40398.45,53377.81,54176.93,25388.63,50795.36,19930.8,59346.31,55305.03,27695.36,16810.89,58709.15,34284.95,14704.34,43956.45,68731.3,49138.97,22954.34,43793.83,62256.14,35836.59,67301.01,62302.49,23002.35,37421.5,27864.84,67646.66,21310.9,64072.01,49238.34,25837.18,26861.18,24464.02,27900.28,38337.46,41584.6,68224.98,34525.61,6773.92,30108.65,36501.66,58709.15,10251.82,10520.38,38255.52,49441.59,60380.24,69897.51,12149.4,38575.74,53482.5,56095.31,26604.02,58789.46,15275.52,67324.03,53535.38,88590.71,22719.9,66932.5,66932.5,65374.38,45075.75,29183.01,54163.44,30314.53,24229.77,22482.81,26471.99,17029.51,23913.99,40495.12,53542.46,49978.96,16365.82,64072.01,31718.6,61337.02,29065.8,24196.42,64220.19
