ID	LATITUDINE	LONGITUTIDE
256	43.303080	12.333300
261	43.048170	12.010460
393	43.025110	12.190770
423	43.118000	12.400360
424	43.180290	12.509070
436	43.023690	12.068700
543	43.168320	12.462580
547	43.329360	12.596550
588	43.085280	12.395730
646	43.029350	12.098320
685	43.302420	12.337550
706	43.345650	12.579600
711	43.099860	12.389810
717	43.068650	12.240880
721	42.777940	12.420300
763	42.846950	12.488510
776	43.001700	12.130890
787	42.986050	12.340920
789	42.985630	12.283790
809	43.306590	12.326640
835	43.103470	12.530590
844	43.095920	12.394000
878	42.567850	12.658720
880	42.573510	12.475390
892	42.599140	12.435500
894	42.542510	12.456030
905	43.093750	11.972060
906	42.568880	12.638340
933	42.590260	12.581840
950	42.619500	12.793430
957	43.111270	12.788900
959	43.254460	12.139410
1038	43.233660	12.476960
1075	42.819420	12.389240
1086	43.069700	12.537300
1087	42.635480	12.401960
1092	42.754230	12.196720
1135	42.782130	12.354730
1148	43.158210	12.242350
1177	43.118000	12.400360
1180	42.862490	12.012220
1190	43.086760	12.347980
1237	43.315230	12.564290
1247	43.082630	12.276480
1287	43.130470	12.618740
1337	43.363690	12.557630
1400	43.093870	11.970120
1442	43.173290	12.786570
1452	42.876120	12.564810
1492	42.831380	12.066620
1525	42.689810	12.543700
1568	43.130630	12.448110
1579	42.967310	12.581370
1584	42.869220	12.555010
1592	42.713760	12.354170
1612	43.113480	12.788640
1638	42.835820	12.065880
1687	42.905290	12.544090
1732	42.731600	12.134310
1756	42.552090	12.419380
1773	43.071000	12.239200
1789	43.112470	12.331090
1790	42.555970	12.648800
1791	42.566970	12.646860
1800	42.902830	12.505680
1802	43.088000	12.339410
1810	43.122640	12.201870
1836	42.867460	12.471900
1841	43.194230	12.115490
1850	43.016530	12.285870
1908	43.114400	12.438550
1911	42.877740	12.515410
1922	43.109540	12.496770
1945	43.122580	12.430720
1951	42.873840	12.042740
1954	42.953920	12.005570
1957	43.246400	12.143350
1960	43.091630	12.321770
1961	42.991480	12.671320
1966	43.472592	12.231510
1967	43.159030	12.602220
1977	42.989810	12.671940
1980	43.002780	12.156150
1985	42.781160	12.406650
1987	43.056620	12.559880
1998	43.324130	12.623030
2005	43.468290	12.238920
2007	43.312920	12.326320
2008	42.583430	12.627390
2011	43.331160	12.741450
2013	42.606920	12.545470
2027	43.021120	12.289110
2029	43.109280	12.373420
2036	42.897980	12.352650
2037	42.776380	12.754430
2042	42.852020	12.374190
2045	42.680630	12.102710
2048	43.343910	12.584090
2057	43.080070	12.767530
2059	43.112120	12.377830
2060	43.196310	12.647160
2061	42.950410	12.320660
2063	43.232180	12.749280
2068	42.877450	12.736050
2075	42.901470	12.329000
2076	43.105900	12.262680
2079	43.181930	12.784970
2082	43.179310	12.426570
2083	43.016790	12.283400
2085	42.779370	12.396770
2087	42.541790	12.524490
2092	42.955560	12.707240
2093	43.104120	12.352510
2096	43.160480	12.602000
2097	42.732010	12.735790
2098	43.066480	12.541100
2100	42.569910	12.664070
2101	43.230780	12.783400
2105	43.014790	12.388590
2108	43.081600	12.547950
2109	42.906060	12.342870
2111	42.554030	12.636220
2112	43.078580	12.332930
2113	42.579740	12.621860
2115	42.890730	12.649970
2116	43.125040	12.371930
2118	43.115150	12.400180
2124	43.200540	12.076870
2125	43.125520	12.396970
2126	43.062400	12.578340
2130	43.041580	12.620910
2186	42.554980	12.661930
2190	42.733160	12.144080
2191	43.071350	12.064800
2198	43.088530	12.431840
2200	43.064520	12.551180
2203	43.181930	12.784970
2204	42.961360	11.998100
2205	43.119160	12.039460
2206	43.055230	12.575230
2208	42.938970	12.694050
2210	42.740080	12.707590
2212	42.533510	12.517100
2213	42.997270	11.976480
2215	42.994040	12.580460
2217	43.351910	12.581550
2220	43.327150	12.613250
2221	43.000920	12.427930
2222	42.647510	12.483190
2223	42.921490	12.054420
2224	42.570450	12.662510
2226	43.475500	12.201380
2229	42.719490	13.029520
2230	43.067370	12.351830
2231	43.331560	12.740500
2232	43.331560	12.740500
2233	43.288160	12.739070
2237	42.937290	12.612980
2239	43.078330	12.421640
2240	42.910720	12.733800
2241	43.088440	12.436120
2244	43.115390	12.363370
2245	43.070620	12.351440
2246	43.109350	12.391490
2247	43.101840	12.274780
2248	43.109130	12.361730
2249	43.092540	12.569480
2251	43.348032	12.584376
2252	42.966325	12.717035
2253	43.142240	12.205440
2255	42.579740	12.621860
10026	43.124190	12.443010
10028	43.268220	12.695130
10031	42.878620	12.391750
10056	42.995150	12.378640
10070	43.551020	12.173450
